baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000002549.13	20.7240421732054	1.1921224604539	0.307158616533168	3.88112980162865	0.00010397232677666	0.0514255024869773
ENSG00000004777.19	1.08676035159798	-1.94499338829369	0.795858646332651	-2.44389301700283	0.0145297343988484	0.697462950737843
ENSG00000005108.17	1.24251190693372	1.14081980467302	0.609182291362434	1.87270677570351	0.0611088872041613	1
ENSG00000006837.12	0.534081287285517	-1.58687396399085	1.18522208743282	-1.33888321928593	0.180608693359845	1
ENSG00000008300.17	0.70228903935295	1.35482547429376	0.735794129375421	1.84131052451289	0.0655760663091166	1
ENSG00000010030.14	4.97144138971345	2.68618134100538	0.532345586561072	5.045935213548	4.51308326100402e-07	0.000683488089641165
ENSG00000011590.14	1.15207401038425	-1.19922115315918	0.798691702103149	-1.50148192350232	0.133230958673922	1
ENSG00000020577.14	1.91051572133662	2.07411018217209	0.411931975727799	5.03507934412608	4.77650945288049e-07	0.000683488089641165
ENSG00000041982.16	0.761058804460084	-1.22873366541131	0.884932446741984	-1.38850560846207	0.164983138145958	1
ENSG00000044090.13	2.21430377916017	1.22853041519437	0.580881949508017	2.11493990514748	0.034435069514133	0.926026088227965
ENSG00000048991.17	21.27145817699	1.13223119566718	0.308891565146752	3.66546491850388	0.000246889655360423	0.0943916921005161
ENSG00000049192.15	0.951703449255357	-1.28400505934175	0.692554266015202	-1.85401364535608	0.0637372078321594	1
ENSG00000049246.15	3.27031216761008	-1.06769257917677	0.519777376890622	-2.05413437876779	0.0399626874750224	0.963490493916379
ENSG00000049768.17	2.86997599111939	1.09785466889126	0.407205452689995	2.69607064846221	0.00701627838891763	0.52393897780841
ENSG00000050344.9	4.25586322455019	-1.1528176985685	0.444788664794584	-2.59183245845734	0.00954662510393881	0.5847005287739
ENSG00000054356.14	0.751237160071242	1.24502350603346	0.944156457937587	1.31866227844598	0.187282042972002	1
ENSG00000054793.14	4.8347205797191	1.22798957011899	0.508223884629578	2.41623742460278	0.0156818321716737	0.712502221251139
ENSG00000055732.13	1.14591768259899	1.00432951912133	0.632678304958668	1.5874252542719	0.112416363338633	1
ENSG00000056277.16	2.82624214226382	-1.5334163886584	0.578577974665337	-2.65031932739121	0.00804157249232059	0.534979395818883
ENSG00000058335.16	0.273397090607803	1.23830157507861	1.37188500648922	0.902627821735242	0.366723455484864	1
ENSG00000058866.15	4.32849533578043	-1.09441485945185	0.498923891938522	-2.19355071411715	0.0282677249207255	0.873839464835782
ENSG00000063660.9	0.487882763756372	1.33297772590884	1.27117550847588	1.04861816249674	0.294353893200912	1
ENSG00000064042.18	0.301249966284359	-1.0184248289907	1.13763541539051	-0.895211959132895	0.370673793006252	1
ENSG00000065029.15	2.94347610765983	1.45241641095485	0.479810350631276	3.02706352425273	0.00246942057283826	0.344607640939579
ENSG00000065361.17	1.58156614910204	2.3204201718544	0.571557446836312	4.05981968164076	4.91106274117585e-05	0.028641024708762
ENSG00000066468.24	0.522757176314677	1.49544194950823	0.655534470639905	2.28125600786248	0.0225333022738671	0.811909008050745
ENSG00000066583.12	2.74044176186	1.19073186387135	0.429181546021698	2.77442465760434	0.00552994413767124	0.473853151831943
ENSG00000067798.16	0.922276448252503	-2.44862684677173	0.757231467041606	-3.23365701684078	0.00122216133178814	0.241185514536817
ENSG00000068137.15	0.564292424608171	1.41294565899492	1.05545730702847	1.33870470135161	0.180666825173596	1
ENSG00000068394.11	5.01338227554029	1.56248666051141	0.457912214831513	3.41219694496754	0.00064441536782799	0.167865907216739
ENSG00000073754.6	0.641141110679654	1.38166145970083	0.758877723948881	1.82066414139981	0.0686579261995573	1
ENSG00000074054.20	13.6655639789159	1.10378071113495	0.328003116441683	3.36515312143747	0.000765011915049586	0.186825472304047
ENSG00000074266.22	11.384167315263	1.09066528101744	0.314453575859003	3.46844610699063	0.000523477511248149	0.151811507275128
ENSG00000075429.9	0.392911338350812	1.59840771218195	0.915250173757695	1.74641617998219	0.0807386604425823	1
ENSG00000077800.13	0.196824473747779	1.07984851804349	1.63971545493607	0.658558480248993	0.510179332236578	1
ENSG00000077935.17	0.259403821359864	1.03657131011359	1.39348418419011	0.743870165068318	0.456955026476955	1
ENSG00000078081.8	0.616303640767932	2.21282995692965	1.0713544990986	2.06545075303408	0.0388803706306838	0.956372433402503
ENSG00000078401.7	0.591188063351246	1.3230268251404	1.10322667405353	1.19923389839667	0.23043700971642	1
ENSG00000079337.16	0.626987843317211	1.132581720338	0.737303803725048	1.5361126778621	0.124510747446441	1
ENSG00000080854.16	2.1656924795113	-1.11102009001951	0.60827389884686	-1.82651284581787	0.0677730480835058	1
ENSG00000081177.19	1.51242431887824	1.0154049724144	0.622247440506294	1.63183471126569	0.102714310836262	1
ENSG00000083817.9	0.715489646948654	-1.43782803342475	0.664753749128254	-2.1629483629243	0.0305451514183654	0.887745191896022
ENSG00000085552.18	0.623142453129425	1.99768644988638	1.0366740822942	1.92701494520382	0.053977767434456	1
ENSG00000086289.12	0.463036321211371	1.86271908121315	1.12770927989762	1.65177241547774	0.09858095395043	1
ENSG00000086548.9	0.612648231125527	-1.13673450062694	0.841936595964175	-1.35014264265965	0.176970232271392	1
ENSG00000087237.12	1.53990802309969	1.1186550455426	0.595078989639249	1.87984295365688	0.0601294844779941	1
ENSG00000088827.13	7.18959823537346	3.90044823876058	0.576938104944691	6.76060084319529	1.37420640869318e-11	4.47464510110644e-08
ENSG00000088881.21	0.319367265029696	-1.48951121568275	1.38240057581806	-1.0774816227209	0.28126515648591	1
ENSG00000089091.16	1.84919495712277	-1.01644288756997	0.570241298768114	-1.78247855735069	0.0746712249101921	1
ENSG00000089127.15	51.8829302538817	1.16240166017099	0.245945161099141	4.72626359053441	2.28688755014337e-06	0.00235152221406058
ENSG00000089723.10	0.419533835076243	-1.49936966487061	1.22253416567229	-1.22644397757676	0.220031645183169	1
ENSG00000090776.6	1.97102389645307	1.00298429565228	0.462397728990593	2.16909433755606	0.0300755225092524	0.88666615914667
ENSG00000090889.12	0.389745302490015	1.30096031538325	1.0666984504959	1.21961395442024	0.222611253956522	1
ENSG00000092098.17	8.94158903785195	1.06580644533754	0.320090520857234	3.32970324295516	0.000869385884833958	0.198865416760997
ENSG00000095539.15	0.682537713626183	-1.00126961185647	0.675701775070728	-1.48182178706229	0.138387720357675	1
ENSG00000099250.18	0.732826162968613	2.26722003857207	0.804758942118902	2.81726604068861	0.00484343876663968	0.452757240114065
ENSG00000099814.17	0.452354366716053	-1.10053915737046	1.23884768706084	-0.888357115136155	0.374348685840056	1
