TF,estimate,confidence interval,p-value
MA0104.4,685.4274121481329,-7.912919758852787,0.021675005671394885
MA0799.2,111.61930795974828,-7.317771526131484,2.017086600295849e-29
MA0608.1,180.2678523670133,-4.426226414953758,0.02318683138354248
MA1124.1,107.5099621052612,-2.6441668875969406,0.02000614401723166
MA1714.1,12.231279440538108,-2.0245169692445675,0.01055908788296896
MA2040.1,33.44767383529946,-1.914359549986043,3.12177038990291e-07
MA0610.1,148.19981460926238,-1.911131052613782,0.04289150455294544
MA0095.3,22.647224271719733,-1.67168577083312,1.690928000892493e-05
MA0106.3,10.290715664097892,-1.563698479150536,0.0049660473656381685
MA1476.2,30.74340592622094,-1.44276638873719,0.00022362425859416308
MA0885.2,30.74340592622094,-1.44276638873719,0.00022362425859416308
MA0516.3,23.729066899671178,-1.4335683138738247,0.000873017854541068
MA0890.1,38.483728352403375,-1.4229286531324044,0.00046159548976059745
MA0703.2,32.2831422598176,-1.4126603385666667,0.00029825731048007336
MA0702.2,44.38932060724921,-1.4126603385666667,0.00029825731048007336
MA0725.1,44.71162075759168,-1.4044525547960292,0.00035520429440389636
MA0726.1,44.71162075759168,-1.4044525547960292,0.00035520429440389636
MA0886.1,38.30982215959824,-1.3756012178203807,0.0007260686561132201
MA2041.1,12.313314509084472,-1.3439145109983992,0.0003906328005416376
MA2023.1,1.374786351342589,-1.316016506803092,0.00018230430059765234
MA1505.1,1.8369776008590903,-1.2703842650234798,2.137637100542488e-29
MA0903.1,38.49009048827103,-1.2584157876089348,0.0012373663047806633
MA0634.1,35.52454352081303,-1.2439269566843036,0.0006828797212199895
MA0644.2,44.11857624860796,-1.2399250392869055,0.0010543821217862662
MA0068.2,43.052006491188536,-1.221367270810363,0.0009563527386538223
MA0510.2,0.6689382372170858,-1.218788360180416,4.830138498862456e-28
MA2020.1,25.97112396486852,-1.2056914496467752,0.001746559394572088
MA0722.1,48.10066946860264,-1.197528585381951,0.001423221418746702
MA1481.1,43.34178654694447,-1.18987342580802,0.0012498723009547587
MA0892.1,37.361066605237355,-1.1787927438781594,0.001237723217646128
MA0471.2,19.21233467947895,-1.1557763449147378,0.004675909414745491
MA0723.2,43.56949499940538,-1.153581704184156,0.0016290499072573498
MA0705.1,43.56949499940538,-1.153581704184156,0.0016290499072573498
MA1710.1,6.790709692164982,-1.0770337659936784,0.013236972778476375
MA1615.1,13.98247379795549,-1.0437539343245446,0.0026723042433687257
MA0658.1,38.10652378072547,-1.0380352408759483,0.0032860946561019673
MA0882.1,45.20338646558879,-1.0049335541553668,0.003996996655063128
MA1657.1,22.314351603018252,-0.9890999626595491,0.047332661899681945
MA0528.2,10.501929247888977,-0.9396907585757354,0.008093201536696244
MA2033.1,8.56766414921183,-0.9064190619181117,0.005531884253136842
MA1625.1,-2.9870197027116454,-0.8999240993208141,0.02504978382132177
