Ensembl_ID,log2FoldChange,pvalue,Object_name,chr,start,end
ENSG00000153363.14,1.03720606400904,0.0173784165693824,LINC00467,1,211382736,211435570
ENSG00000166770.12,1.1717947911029,0.0202191958535604,ZNF667-AS1,19,56477250,56504362
ENSG00000174365.21,-1.30115621766008,0.0359548284267165,SNHG11,20,38446343,38450940
ENSG00000183562.3,1.93428540186901,0.0397673334306427,"lncRNA:novel transcript, antisense to NAP1L4",11,2989863,2991344
ENSG00000197813.6,1.02505729723187,0.0426609913365281,lncRNA:novel transcript,19,49331525,49340303
ENSG00000223466.2,1.44880649236993,0.0395452884916724,LINC01825,2,195532945,195540287
ENSG00000223914.5,1.19238071224822,0.0288733935055267,LINC02471,12,40156113,40211419
ENSG00000224973.6,-1.73813198066498,0.0042658301036396,LARGE-AS1,22,33725007,33750843
ENSG00000225265.2,2.20817880642348,0.0004674314807376,TAF1A-AS1,1,222589825,222593843
ENSG00000225393.1,-1.12171371205853,0.0278816347016245,lncRNA:novel transcript,X,155468286,155487046
ENSG00000225886.3,1.88056463778612,0.0051463052800157,"lncRNA:novel transcript, antisense to IFI6",1,27669468,27703063
ENSG00000226824.8,-1.18122359112774,0.0061309784585195,lncRNA:novel transcript,7,66654513,66685692
ENSG00000226842.1,-1.12255609945603,0.0236309527625889,"lncRNA:novel transcript, antisense to EPC1",10,32281686,32282829
ENSG00000228107.1,2.03336971851847,0.0097445023212921,"lncRNA:novel transcript, sense overlapping MORC3",21,36360630,36362040
ENSG00000229832.1,1.54022033328023,0.024343438618707,"lncRNA:novel transcript, sense intronic to PPP2R5A",1,212357418,212358353
ENSG00000230074.4,-1.6735235734749,0.0404859685072894,lncRNA:novel transcript,9,34665607,34681981
ENSG00000230454.1,1.82838330514426,0.0304065669802748,lncRNA:novel transcript,3,50260303,50263358
ENSG00000230953.2,1.16328597136746,0.0342215488861862,lncRNA:novel transcript,1,52920422,52920596
ENSG00000231770.7,1.122397878521,0.0221484025928713,TMEM44-AS1,3,194583991,194590260
ENSG00000232934.8,1.34892445677717,0.0187115454966153,"lncRNA:novel transcript, antisense to ACSL5",10,112395813,112425589
ENSG00000233639.8,1.6663517233229,0.0162337466967108,PANTR1,2,104764932,104853183
ENSG00000233901.7,-1.10868004015773,0.0201142605128884,LINC01503,9,129332300,129359549
ENSG00000233975.2,1.85125079761395,9.054078819855431e-17,LINC02574,1,27660328,27666279
ENSG00000234292.3,-1.50595308647173,0.0076480962783396,lncRNA:novel transcript,5,91280097,91281142
ENSG00000234336.7,1.10454344234989,0.0490867893875636,JAZF1-AS1,7,28180322,28243917
ENSG00000235535.9,1.28137178399163,0.01318396644297,TRDN-AS1,6,123389421,123511509
ENSG00000237125.12,-1.11930309535478,0.0384062160995804,HAND2-AS1,4,173527270,173659696
ENSG00000237281.1,-1.71267678072338,0.0294624432120458,CATIP-AS2,2,218326889,218357966
ENSG00000237328.1,-2.05396221226404,0.049907574117486,RAI1-AS1,17,17759154,17770821
