Ensembl_ID,log2FoldChange,pvalue,Object_name,chr,start,end
ENSG00000002549.13,1.1921224604539,0.0001039723267766,LAP3,4,17577198,17607972
ENSG00000004777.19,-1.94499338829369,0.0145297343988484,ARHGAP33,19,35774532,35788822
ENSG00000010030.14,2.68618134100538,4.51308326100402e-07,ETV7,6,36354091,36387800
ENSG00000020577.14,2.07411018217209,4.77650945288049e-07,SAMD4A,14,54566117,54793315
ENSG00000044090.13,1.22853041519437,0.034435069514133,CUL7,6,43037617,43053943
ENSG00000048991.17,1.13223119566718,0.0002468896553604,R3HDM1,2,135531455,135725270
ENSG00000049246.15,-1.06769257917677,0.0399626874750224,PER3,1,7784291,7845177
ENSG00000049768.17,1.09785466889126,0.0070162783889176,FOXP3,X,49250438,49264800
ENSG00000050344.9,-1.1528176985685,0.0095466251039388,NFE2L3,7,26152198,26187137
ENSG00000054793.14,1.22798957011899,0.0156818321716737,ATP9A,20,51596514,51768390
ENSG00000056277.16,-1.5334163886584,0.0080415724923205,ZNF280C,X,130202707,130268899
ENSG00000058866.15,-1.09441485945185,0.0282677249207255,DGKG,3,186105668,186362234
ENSG00000065029.15,1.45241641095485,0.0024694205728382,ZNF76,6,35258909,35295985
ENSG00000065361.17,2.3204201718544,4.91106274117585e-05,ERBB3,12,56076799,56103505
ENSG00000066468.24,1.49544194950823,0.0225333022738671,FGFR2,10,121478332,121598458
ENSG00000066583.12,1.19073186387135,0.0055299441376712,ISOC1,5,129094749,129114028
ENSG00000067798.16,-2.44862684677173,0.0012221613317881,NAV3,12,77324641,78213010
ENSG00000068394.11,1.56248666051141,0.0006444153678279,GPKOW,X,49113407,49123735
ENSG00000074054.20,1.10378071113495,0.0007650119150495,CLASP1,2,121337776,121649476
ENSG00000074266.22,1.09066528101744,0.0005234775112481,EED,11,86201212,86278813
ENSG00000078081.8,2.21282995692965,0.0388803706306838,LAMP3,3,183122215,183163839
ENSG00000083817.9,-1.43782803342475,0.0305451514183654,ZNF416,19,57571566,57578911
ENSG00000088827.13,3.90044823876058,1.3742064086931798e-11,SIGLEC1,20,3686970,3712600
ENSG00000089127.15,1.16240166017099,2.28688755014337e-06,OAS1,12,112905856,112933219
ENSG00000090776.6,1.00298429565228,0.0300755225092524,EFNB1,X,68829021,68842160
ENSG00000092098.17,1.06580644533754,0.0008693858848339,RNF31,14,24146683,24160660
ENSG00000099250.18,2.26722003857207,0.0048434387666396,NRP1,10,33177492,33336262
ENSG00000100150.20,-1.15727679813747,0.0023910795051856,DEPDC5,22,31753867,31908033
ENSG00000100154.15,1.55356259237896,0.0036523490848007,TTC28,22,27978014,28679840
ENSG00000100234.12,-1.4230073896908,0.0268956193399922,TIMP3,22,32801705,32863041
ENSG00000100342.21,1.43455456788518,1.62058852716847e-07,APOL1,22,36253071,36267530
ENSG00000100359.21,1.17149744121761,0.0076853242519702,SGSM3,22,40370591,40410289
ENSG00000100427.16,-1.3663934978583,0.0005784424683873,MLC1,22,50059391,50085426
ENSG00000100448.4,1.6992061577601,0.0352674367841536,CTSG,14,24573518,24576250
ENSG00000100802.15,1.02355214815002,0.0104253843239938,C14orf93,14,22985894,23010166
ENSG00000100983.12,-1.15841257665451,0.0131204127735713,GSS,20,34928432,34956027
ENSG00000101400.6,1.69923043373915,0.0012747209825883,SNTA1,20,33407957,33443763
ENSG00000101425.14,-1.85937555339412,0.0041774719678965,BPI,20,38304150,38337505
ENSG00000101842.14,1.33625981344645,0.0047089018155441,VSIG1,X,108044970,108079184
ENSG00000101843.19,1.04779643798973,0.015641508569997,PSMD10,X,108084207,108091549
ENSG00000102452.18,1.67949197078163,0.0027472665232791,NALCN,13,101053776,101416508
ENSG00000102978.13,-1.03738381143238,7.34829487553446e-05,POLR2C,16,57462660,57472009
ENSG00000103245.14,1.11272236168512,0.0049894168854371,CIAO3,16,729760,741329
ENSG00000104064.18,1.0255588427235,0.0027010959498041,GABPB1,15,50275389,50355408
ENSG00000104154.7,-1.06073708335063,0.0404283974041145,SLC30A4,15,45479606,45522755
ENSG00000104691.16,1.57392106969023,0.0054226704446241,UBXN8,8,30729131,30767006
ENSG00000105392.16,1.15880214701813,0.0117094190329339,CRX,19,47819779,47843330
ENSG00000105556.12,-1.08078636520968,0.023823889308669,MIER2,19,305573,344815
ENSG00000105732.13,1.02575168555553,0.0158541011720768,ZNF574,19,42068477,42081552
ENSG00000107833.10,1.08576673591356,0.0127155699453903,NPM3,10,101781325,101783446
ENSG00000108387.16,2.33408896566703,3.20398047050969e-06,SEPTIN4,17,58520250,58544368
ENSG00000108557.20,-1.4099681160379,2.86644934171722e-05,RAI1,17,17681458,17811453
ENSG00000108771.13,1.28702370849007,0.0001561839386408,DHX58,17,42101404,42112714
ENSG00000108784.10,-1.44716741568894,0.0016286561034933,NAGLU,17,42536241,42544449
ENSG00000110079.19,1.03565951211097,0.0493440107139365,MS4A4A,11,60185657,60318080
ENSG00000110721.12,-1.18574189129357,0.0013400766470276,CHKA,11,68052859,68121444
ENSG00000110777.12,1.17521837456439,0.0009608285492257,POU2AF1,11,111352255,111455630
ENSG00000111331.14,1.94596476392069,2.2566767140467996e-12,OAS3,12,112938051,112976460
ENSG00000111335.14,1.14338968431546,1.58161122109668e-05,OAS2,12,112978395,113011723
ENSG00000112039.6,1.59205133159045,0.001454148834481,FANCE,6,35452338,35467104
ENSG00000112053.14,-1.62704064560388,0.0003914725839878,SLC26A8,6,35943516,36024868
ENSG00000112394.18,1.17208763229912,0.0041981136793061,SLC16A10,6,111087503,111231194
ENSG00000112651.12,-1.10733161851951,0.0084420324935689,MRPL2,6,43054029,43059438
ENSG00000114346.14,-1.22419259431381,0.0202796913731133,ECT2,3,172750682,172821474
ENSG00000115155.19,2.51502586998696,0.0001523820457238,OTOF,2,26457203,26558756
ENSG00000115267.9,1.09680671959329,0.0001826236630594,IFIH1,2,162267074,162318684
ENSG00000115641.19,-1.05089921938637,0.0416674028140425,FHL2,2,105357712,105438513
ENSG00000115998.8,1.05062652336629,0.0297541024468741,C2orf42,2,70149885,70248615
ENSG00000116133.13,1.18615356595349,0.0139133879324656,DHCR24,1,54849627,54887195
ENSG00000116237.16,1.34911811199002,0.0014930442557341,ICMT,1,6221193,6235972
ENSG00000116663.11,1.29575559956219,0.0162652097571969,FBXO6,1,11664200,11674354
ENSG00000116717.13,-1.03688756513906,0.0260351516127468,GADD45A,1,67685201,67688334
ENSG00000116745.7,1.5713218135011,0.0422181231685499,RPE65,1,68428822,68449954
ENSG00000117118.10,1.04544363141857,0.0002610886940473,SDHB,1,17018664,17054032
ENSG00000117318.9,-1.08531173179487,0.0013472372016729,ID3,1,23557926,23559501
ENSG00000117877.11,1.01015356871072,0.0029453361345127,POLR1G,19,45406644,45410737
ENSG00000118407.15,1.61284519604601,0.009948209726337,FILIP1,6,75291859,75493800
ENSG00000118454.13,-1.07852350854184,0.0075536413778139,ANKRD13C,1,70258999,70354734
ENSG00000118965.16,-1.45456071765764,0.0196226571014987,WDR35,2,19910263,19990105
ENSG00000119139.21,1.09535906779859,0.0042447011972728,TJP2,9,69121264,69274615
ENSG00000119917.15,2.13795120679172,3.1389452346158904e-19,IFIT3,10,89327307,89377473
ENSG00000119922.11,1.39877894905826,1.40520708924211e-13,IFIT2,10,89283694,89309271
ENSG00000119929.13,1.31779451047273,0.0010044528216836,CUTC,10,99702558,99756134
ENSG00000120158.12,-1.00054234708328,0.038593915200416,RCL1,9,4792944,4885917
ENSG00000120215.10,-1.49481947033067,0.0035908488227723,MLANA,9,5890889,5910606
ENSG00000120509.12,1.16966387091534,0.0091510542546411,PDZD11,X,70281118,70290514
ENSG00000120693.14,1.7446699025708,0.007409483901472,SMAD9,13,36844831,36920887
ENSG00000121858.11,1.14973855059531,1.21609070465558e-12,TNFSF10,3,172505508,172523475
ENSG00000123610.5,1.18636283314361,4.72299170001978e-06,TNFAIP6,2,151357592,151380046
ENSG00000126709.16,1.95834148146408,6.19518622993379e-18,IFI6,1,27666064,27672212
ENSG00000127418.15,1.21642571935004,0.0336239843030449,FGFRL1,4,1009936,1026898
ENSG00000127586.17,-1.31542846449584,0.0379032540494727,CHTF18,16,788046,800737
ENSG00000128791.12,1.35236509719412,0.0194772215013144,TWSG1,18,9334767,9402420
ENSG00000129158.11,-1.09786992867759,0.0173850085372123,SERGEF,11,17788048,18013047
ENSG00000129204.17,1.07321203990556,0.013420228878443,USP6,17,5116032,5175034
ENSG00000130669.17,-1.39186091800977,0.0137705362074918,PAK4,19,39125770,39182816
ENSG00000130810.20,-1.08161893922312,0.0166817296230473,PPAN,19,10106362,10112012
ENSG00000131203.13,1.89101483200958,0.0033371939190944,IDO1,8,39902275,39928790
ENSG00000131584.19,-1.0067435346842,0.0064488903351252,ACAP3,1,1292390,1309609
ENSG00000132464.13,-1.82180304967257,0.0216303866786715,ENAM,4,70628744,70646824
ENSG00000132773.12,-1.03651622759387,0.0103431324474612,TOE1,1,45340052,45343973
ENSG00000132879.14,1.05699687317099,0.0150478402476595,FBXO44,1,11654375,11663327
ENSG00000133065.11,-1.53901676145802,0.0006947033348283,SLC41A1,1,205789094,205813748
ENSG00000133134.12,1.26232511016368,0.0121499810607762,BEX2,X,103309346,103311007
ENSG00000133424.22,1.81549689703476,0.007507326450351,LARGE1,22,33162226,33922841
ENSG00000133619.18,1.3319412241887,0.0397692061481991,KRBA1,7,149714781,149734575
ENSG00000134057.15,2.0631097154403,0.0075553530554128,CCNB1,5,69167135,69178245
ENSG00000134321.13,2.14186336340719,2.29853889022735e-10,RSAD2,2,6865557,6898239
ENSG00000134326.12,1.78527602911747,7.82312644232986e-06,CMPK2,2,6840570,6866635
ENSG00000134460.18,-1.17090115448431,0.0076302215952426,IL2RA,10,6010689,6062370
ENSG00000134864.11,-1.72407761257702,0.0042368542394714,GGACT,13,100530164,100589528
ENSG00000135100.19,-1.50268716536009,0.0347631228568503,HNF1A,12,120978543,121002512
ENSG00000135114.13,1.67511928748789,3.82274443897036e-07,OASL,12,121017763,121039246
ENSG00000136237.19,1.23741143711348,0.0063361154454499,RAPGEF5,7,22118236,22357154
ENSG00000136444.10,-1.50640273232189,0.0002094751850439,RSAD1,17,50478860,50485974
ENSG00000136514.3,1.08640951409144,0.0096677785184802,RTP4,3,187368385,187372076
ENSG00000136631.15,1.02593883689436,0.0020632877641897,VPS45,1,150067279,150145329
ENSG00000136816.16,1.2888477368137,0.0001364964796047,TOR1B,9,129803157,129811281
ENSG00000137310.12,1.23892290264439,0.0343047658200083,TCF19,6,31158331,31167159
ENSG00000137364.5,1.24465810275952,0.0024275061342198,TPMT,6,18128311,18155077
ENSG00000137411.19,-1.04606760105427,0.0375543302390818,VARS2,6,30914205,30926459
ENSG00000137628.18,1.47797326070821,4.46666776632618e-07,DDX60,4,168216291,168318883
ENSG00000137752.25,1.0960806770797,2.9686678880785e-06,CASP1,11,105025397,105035250
ENSG00000137757.11,1.18027123938854,0.0074965723335751,CASP5,11,104994235,105023168
ENSG00000137880.6,-1.1915665454994,0.0256772240563593,GCHFR,15,40764068,40767708
ENSG00000137941.17,1.17523405495589,0.0413417781968441,TTLL7,1,83865024,83999150
ENSG00000137959.17,1.89413666956532,2.1937700242565597e-11,IFI44L,1,78619902,78646145
ENSG00000137965.11,1.33517281167151,0.0015715595907122,IFI44,1,78649796,78664078
ENSG00000138035.15,1.08569864605184,0.0003442742321198,PNPT1,2,55634061,55693863
ENSG00000138036.18,1.38340995081511,0.0191263609282517,DYNC2LI1,2,43774039,43810010
ENSG00000138448.12,1.07741788020861,0.0215879467596401,ITGAV,2,186590010,186680901
ENSG00000138495.7,1.09558232415315,0.0012898096459195,COX17,3,119654513,119677454
ENSG00000138642.16,1.51449676690121,4.89780071401766e-07,HERC6,4,88378739,88443097
ENSG00000138646.9,1.85159686888112,2.470863646606e-12,HERC5,4,88457119,88506163
ENSG00000140025.16,-1.44220620160622,0.0185789705060187,EFCAB11,14,89794669,89954777
ENSG00000140323.6,1.11808837753455,0.012113733587485,DISP2,15,40358219,40378621
ENSG00000140675.13,-1.17307505244615,0.0039686081364278,SLC5A2,16,31483002,31490860
ENSG00000140688.17,-1.1989956248869,0.0033404047435376,RUSF1,16,31489471,31509309
ENSG00000141452.10,-1.00565189757514,0.0010635502781049,RMC1,18,23503496,23531822
ENSG00000141696.13,1.68989324786085,0.0059273564716913,P3H4,17,41801947,41812604
ENSG00000142089.17,1.38063006276023,7.63365155318274e-13,IFITM3,11,319676,329475
ENSG00000142173.16,1.27352181371661,0.0226056378559309,COL6A2,21,46098112,46132848
ENSG00000143178.13,-1.08771116288707,0.0368855139643825,TBX19,1,168280877,168314426
ENSG00000143450.19,1.39167934130482,0.0041248708731048,OAZ3,1,151762899,151771334
ENSG00000143624.14,-1.03887235567261,0.0026338353730111,INTS3,1,153728050,153774808
ENSG00000144034.16,1.25005501041621,0.0019384063445968,TPRKB,2,73729104,73737400
ENSG00000144161.14,-1.07265389229641,0.0002888908286217,ZC3H8,2,112211529,112255136
ENSG00000144959.11,1.26592889874146,0.0046071415814041,NCEH1,3,172630249,172711218
ENSG00000145014.18,1.57553555244802,0.0418722980533633,TMEM44,3,194587673,194633689
ENSG00000145331.14,1.53549089650484,0.0007120660186241,TRMT10A,4,99546709,99564039
ENSG00000145386.11,1.01147018932292,0.0071904454141915,CCNA2,4,121816444,121823883
ENSG00000146409.12,1.08873376181027,0.0099728255993087,SLC18B1,6,132769370,132813339
ENSG00000147642.17,-2.67816967451969,0.0031203706174736,SYBU,8,109573978,109691791
ENSG00000147862.18,-1.40215694446153,0.0159061556306762,NFIB,9,14081843,14398983
ENSG00000148377.6,1.54628403100127,0.030805499614788,IDI2,10,1018910,1025859
ENSG00000149131.17,1.97198411943123,2.4710289045840103e-09,SERPING1,11,57597387,57619171
ENSG00000149380.12,-1.17986831728779,0.02680770336043,P4HA3,11,74235801,74311640
ENSG00000151623.15,1.03557271157679,0.0160938743425782,NR3C2,4,148078762,148444698
ENSG00000152778.10,1.19993783206042,5.04329688676619e-05,IFIT5,10,89414568,89421605
ENSG00000152939.17,1.43064742659007,0.025946424143348,MARVELD2,5,69415065,69444330
ENSG00000153363.14,1.03720606400904,0.0173784165693824,LINC00467,1,211382736,211435570
ENSG00000154079.6,1.42009655471959,0.020139460563205,SDHAF4,6,70566917,70589569
ENSG00000154102.11,-1.04594776583089,0.0400447500158725,C16orf74,16,85690084,85751129
ENSG00000154263.18,-1.32864155766983,0.0466905275759401,ABCA10,17,69147214,69244846
ENSG00000155016.18,1.17049340572512,0.0286503252239851,CYP2U1,4,107931549,107953461
ENSG00000155629.15,1.08435612511014,1.9036172973769e-06,PIK3AP1,10,96593315,96720514
ENSG00000155962.13,1.22778570238938,0.0445891381162508,CLIC2,X,155276211,155334657
ENSG00000156172.6,-1.24793362201706,0.036159146845492,CFAP418,8,95244913,95269201
ENSG00000157601.15,1.56380310250472,1.1807151190175898e-11,MX1,21,41420020,41470071
ENSG00000157653.12,-1.23700405014247,0.0420855038515521,C9orf43,9,113410054,113429690
ENSG00000158079.16,-1.75514817609879,0.0004996156762558,PTPDC1,9,94030794,94109856
ENSG00000158106.14,-1.20292321885614,0.0300075143306198,RHPN1,8,143368876,143384221
ENSG00000158169.14,-1.16539208007139,0.0129474142183332,FANCC,9,95099054,95426796
ENSG00000158286.13,1.17073285764583,0.0230764626627275,RNF207,1,6205475,6221299
ENSG00000158483.18,1.39359704291193,0.009936223252305,FAM86C1P,11,71787537,71799660
ENSG00000159363.19,-1.12260301121051,0.0264251068848423,ATP13A2,1,16985958,17011928
ENSG00000159714.12,1.51932302416041,0.0136405398515497,ZDHHC1,16,67394152,67416833
ENSG00000160055.20,1.29420978073482,0.0291878190180318,TMEM234,1,32214472,32222359
ENSG00000160190.14,1.22284785681294,0.0036507230783056,SLC37A1,21,42496008,42581440
ENSG00000160932.11,1.23050122066826,3.89947631933013e-06,LY6E,8,143017982,143023832
ENSG00000160972.10,-1.08267176760358,0.0339089720719576,PPP1R16A,8,144477969,144502121
ENSG00000161800.13,1.95632117718001,0.0012326158097343,RACGAP1,12,49976923,50033136
ENSG00000162078.12,2.14538322479116,0.0108248996863575,ZG16B,16,2830253,2839585
ENSG00000162999.13,-2.30487064979776,0.0007087530372627,DUSP19,2,183078559,183100008
ENSG00000163406.11,1.77765349730104,0.0001672371076843,SLC15A2,3,121894401,121944188
ENSG00000163449.11,-1.05779829213396,0.0283975510400382,TMEM169,2,216081866,216102783
ENSG00000163462.19,-1.39346502552441,0.0486719351528534,TRIM46,1,155173787,155184971
ENSG00000163568.16,1.27108042027519,0.0001933503889682,AIM2,1,159061599,159187843
ENSG00000163898.10,-1.39222052572193,0.0458378143458795,LIPH,3,185506262,185552588
ENSG00000163959.10,1.30742628373003,0.0231037479399135,SLC51A,3,196211487,196243178
ENSG00000164056.11,-1.44932805488114,0.0274676746567197,SPRY1,4,123396795,123403760
ENSG00000164117.14,1.18326524114159,0.0374234288324979,FBXO8,4,174236658,174283667
ENSG00000164181.14,-1.09627439154864,0.0223676840779541,ELOVL7,5,60751791,60844274
ENSG00000164236.12,-1.59271417145726,0.0004427605908816,ANKRD33B,5,10564070,10657816
ENSG00000164296.7,2.23150813171779,0.0028429753002419,TIGD6,5,149993118,150000654
ENSG00000164402.14,1.00484006161056,0.0338115324079247,SEPTIN8,5,132750819,132807241
ENSG00000164535.15,1.00225458529192,0.0036283107852856,DAGLB,7,6409126,6484190
ENSG00000164849.10,-1.02138513497214,0.0008658957745622,GPR146,7,1044546,1059261
ENSG00000164898.13,1.15816875990458,0.0256316666781953,FMC1,7,139339457,139346328
ENSG00000165244.7,1.83121604886584,0.002036589409106,ZNF367,9,96385941,96418370
ENSG00000165480.16,1.33422495370573,0.0223998879069697,SKA3,13,21153595,21176552
ENSG00000165646.14,1.25297122705939,0.0410741095702888,SLC18A2,10,117241093,117279430
ENSG00000165949.13,1.05920665829054,0.0079365041753747,IFI27,14,94104836,94116695
ENSG00000166123.14,1.65133876718295,0.0271188052042793,GPT2,16,46884362,46931289
ENSG00000166153.17,1.42062722438206,0.0154560549616903,DEPDC4,12,100203669,100267079
ENSG00000166532.16,1.04459842375053,0.0098147945660796,RIMKLB,12,8681600,8783095
ENSG00000166770.12,1.1717947911029,0.0202191958535604,ZNF667-AS1,19,56477250,56504362
ENSG00000167447.13,-1.25109799144481,0.0025498729556851,SMG8,17,59209400,59215239
ENSG00000167792.13,1.01905492757651,0.0008702970329664,NDUFV1,11,67605653,67612554
ENSG00000167994.13,-1.15273171837069,0.0366283907054194,RAB3IL1,11,61897301,61920269
ENSG00000168096.15,-1.25955935289173,0.0077150108702663,ANKS3,16,4696510,4734378
ENSG00000168434.13,-1.48373637783611,5.77888760799392e-05,COG7,16,23388493,23453189
ENSG00000168779.21,1.78389524465167,0.0128937268745768,SHOX2,3,158095905,158106420
ENSG00000168913.7,1.72952206870566,0.0234072646208268,ENHO,9,34521043,34522990
ENSG00000169607.13,-1.80187205843471,0.0324600888875646,CKAP2L,2,112736349,112764664
ENSG00000169668.12,1.08738465556919,0.0030490094619976,BCRP2,22,21115929,21119758
ENSG00000169914.6,-1.27598874912008,0.0049838341680395,OTUD3,1,19882395,19912945
ENSG00000170037.14,-1.21468407739601,0.0120189393964627,CNTROB,17,7932101,7949920
ENSG00000170310.15,1.10533790288476,0.002131397786116,STX8,17,9250471,9576591
ENSG00000170325.16,-1.13274507044867,0.0078598083682031,PRDM10,11,129899706,130002835
