Object_Name,chr,start,end,log2FoldChange,pvalue,Alu,Alu_chr,Alu_start,Alu_end
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSx,chr4,17572238,17572417
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluY,chr4,17572417,17572727
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSx,chr4,17572727,17572862
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluJb,chr4,17573760,17574050
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluJb,chr4,17574947,17575220
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSx1,chr4,17575329,17575627
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSx3,chr4,17576312,17576446
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSq,chr4,17576446,17576763
LAP3,4,17577198,17607972,1.1921224604539,0.0001039723267766,AluSx3,chr4,17576763,17576946
ETV7,6,36354091,36387800,2.68618134100538,4.51308326100402e-07,AluJo,chr6,36349934,36350058
ETV7,6,36354091,36387800,2.68618134100538,4.51308326100402e-07,AluSz6,chr6,36352061,36352333
SAMD4A,14,54566117,54793315,2.07411018217209,4.77650945288049e-07,AluSg,chr14,54561368,54561653
SAMD4A,14,54566117,54793315,2.07411018217209,4.77650945288049e-07,FLAM_C,chr14,54561686,54561794
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluJb,chr6,43032640,43032681
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluJb,chr6,43032681,43032801
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,FAM,chr6,43032828,43032961
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluSc8,chr6,43032972,43033275
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluSp,chr6,43034586,43034881
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluSx1,chr6,43034881,43035183
CUL7,6,43037617,43053943,1.22853041519437,0.034435069514133,AluSc,chr6,43036353,43036634
R3HDM1,2,135531455,135725270,1.13223119566718,0.0002468896553604,AluSx1,chr2,135526157,135526463
R3HDM1,2,135531455,135725270,1.13223119566718,0.0002468896553604,AluSz,chr2,135527277,135527569
R3HDM1,2,135531455,135725270,1.13223119566718,0.0002468896553604,AluJb,chr2,135528141,135528447
R3HDM1,2,135531455,135725270,1.13223119566718,0.0002468896553604,AluSx1,chr2,135529496,135529811
R3HDM1,2,135531455,135725270,1.13223119566718,0.0002468896553604,AluYf1,chr2,135529945,135530225
FOXP3,X,49250438,49264800,1.09785466889126,0.0070162783889176,AluSc,chrX,49245358,49245669
FOXP3,X,49250438,49264800,1.09785466889126,0.0070162783889176,AluSx,chrX,49245947,49246271
ATP9A,20,51596514,51768390,1.22798957011899,0.0156818321716737,AluSz,chr20,51592994,51593299
ATP9A,20,51596514,51768390,1.22798957011899,0.0156818321716737,AluSx1,chr20,51595598,51595882
ATP9A,20,51596514,51768390,1.22798957011899,0.0156818321716737,AluJb,chr20,51596088,51596388
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSx,chr6,35254411,35254710
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSq,chr6,35254711,35254886
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSg,chr6,35254887,35255188
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSg,chr6,35256805,35257096
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSc8,chr6,35257121,35257407
ZNF76,6,35258909,35295985,1.45241641095485,0.0024694205728382,AluSx3,chr6,35257976,35258262
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluJr,chr12,56071728,56071895
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluSx,chr12,56072174,56072321
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluSz,chr12,56072583,56072865
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluJb,chr12,56072865,56073031
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluSx3,chr12,56073244,56073555
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluSx3,chr12,56073809,56074121
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluJr,chr12,56074155,56074275
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,Alu,chr12,56074296,56074373
ERBB3,12,56076799,56103505,2.3204201718544,4.91106274117585e-05,AluSq2,chr12,56074764,56075059
FGFR2,10,121478332,121598458,1.49544194950823,0.0225333022738671,AluJb,chr10,121473420,121473731
FGFR2,10,121478332,121598458,1.49544194950823,0.0225333022738671,AluSq2,chr10,121474066,121474373
FGFR2,10,121478332,121598458,1.49544194950823,0.0225333022738671,AluSq2,chr10,121474572,121474653
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluSx1,chrX,49108454,49108733
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluY,chrX,49109248,49109550
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluSx,chrX,49109769,49110069
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluJb,chrX,49110069,49110260
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluSg,chrX,49111190,49111500
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluJo,chrX,49111505,49111645
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,FRAM,chrX,49112647,49112800
GPKOW,X,49113407,49123735,1.56248666051141,0.0006444153678279,AluSz,chrX,49112923,49113227
CLASP1,2,121337776,121649476,1.10378071113495,0.0007650119150495,AluJb,chr2,121332701,121332825
CLASP1,2,121337776,121649476,1.10378071113495,0.0007650119150495,AluSc8,chr2,121332829,121333140
CLASP1,2,121337776,121649476,1.10378071113495,0.0007650119150495,AluJo,chr2,121334340,121334610
CLASP1,2,121337776,121649476,1.10378071113495,0.0007650119150495,AluSz,chr2,121337359,121337621
EED,11,86201212,86278813,1.09066528101744,0.0005234775112481,AluJr4,chr11,86199240,86199559
EED,11,86201212,86278813,1.09066528101744,0.0005234775112481,AluJo,chr11,86200251,86200288
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSx,chr3,183118024,183118180
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSc,chr3,183118183,183118471
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSz6,chr3,183118725,183119003
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluJb,chr3,183119124,183119425
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSx,chr3,183119435,183119726
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSx1,chr3,183119987,183120297
LAMP3,3,183122215,183163839,2.21282995692965,0.0388803706306838,AluSx4,chr3,183121542,183121833
SIGLEC1,20,3686970,3712600,3.90044823876058,1.3742064086931798e-11,AluSc5,chr20,3682800,3683100
SIGLEC1,20,3686970,3712600,3.90044823876058,1.3742064086931798e-11,AluSp,chr20,3683123,3683429
SIGLEC1,20,3686970,3712600,3.90044823876058,1.3742064086931798e-11,AluJr,chr20,3683759,3684003
SIGLEC1,20,3686970,3712600,3.90044823876058,1.3742064086931798e-11,AluSq2,chr20,3684003,3684313
SIGLEC1,20,3686970,3712600,3.90044823876058,1.3742064086931798e-11,AluJr,chr20,3684313,3684382
OAS1,12,112905856,112933219,1.16240166017099,2.28688755014337e-06,AluSq2,chr12,112901696,112901998
OAS1,12,112905856,112933219,1.16240166017099,2.28688755014337e-06,AluSx3,chr12,112902057,112902362
OAS1,12,112905856,112933219,1.16240166017099,2.28688755014337e-06,FLAM_C,chr12,112902966,112903099
OAS1,12,112905856,112933219,1.16240166017099,2.28688755014337e-06,AluJo,chr12,112905098,112905395
RNF31,14,24146683,24160660,1.06580644533754,0.0008693858848339,AluSx,chr14,24142416,24142717
NRP1,10,33177492,33336262,2.26722003857207,0.0048434387666396,AluJr,chr10,33172299,33172531
NRP1,10,33177492,33336262,2.26722003857207,0.0048434387666396,FLAM_C,chr10,33173355,33173488
TTC28,22,27978014,28679840,1.55356259237896,0.0036523490848007,AluJb,chr22,27973167,27973470
TTC28,22,27978014,28679840,1.55356259237896,0.0036523490848007,FLAM_A,chr22,27974911,27975042
APOL1,22,36253071,36267530,1.43455456788518,1.62058852716847e-07,AluSc,chr22,36250793,36251091
APOL1,22,36253071,36267530,1.43455456788518,1.62058852716847e-07,AluYh3,chr22,36252439,36252717
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,AluJb,chr22,40365587,40365876
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,AluSx1,chr22,40367160,40367436
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,FRAM,chr22,40368341,40368493
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,AluSx1,chr22,40368641,40368943
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,AluJr,chr22,40369522,40369720
SGSM3,22,40370591,40410289,1.17149744121761,0.0076853242519702,AluSx1,chr22,40370057,40370375
CTSG,14,24573518,24576250,1.6992061577601,0.0352674367841536,AluYa5,chr14,24568845,24569146
CTSG,14,24573518,24576250,1.6992061577601,0.0352674367841536,AluJr,chr14,24573010,24573212
C14orf93,14,22985894,23010166,1.02355214815002,0.0104253843239938,AluSz,chr14,22983726,22984014
C14orf93,14,22985894,23010166,1.02355214815002,0.0104253843239938,AluSx4,chr14,22984091,22984377
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluJb,chr20,33402746,33403049
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluSx3,chr20,33403051,33403365
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluSz,chr20,33403463,33403758
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluSz6,chr20,33403760,33403892
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluSx,chr20,33404040,33404207
SNTA1,20,33407957,33443763,1.69923043373915,0.0012747209825883,AluSx,chr20,33404604,33404897
