Object_name,chr,lncRNA_start,lncRNA_end,Alu,Alu_strand,Alu_chr,Alu_start,Alu_end,TF_Name,TF_MA,Score,TF_strand,TF_chr,TF_start,TF_end
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1623.1,407,407,-,chr19,35769300,35769313
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,474,474,-,chr19,35769304,35769316
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,480,480,-,chr19,35769305,35769317
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769306,35769318
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769307,35769319
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769308,35769320
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769309,35769321
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769310,35769322
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,622,622,-,chr19,35769311,35769323
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,560,560,-,chr19,35769312,35769324
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0052.4,415,415,-,chr19,35769312,35769327
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,541,541,-,chr19,35769313,35769325
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0901.2,418,418,-,chr19,35769313,35769327
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0497.1,427,427,-,chr19,35769313,35769328
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,522,522,-,chr19,35769314,35769326
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,500,500,-,chr19,35769315,35769327
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1114.1,450,450,-,chr19,35769334,35769351
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0782.2,454,454,-,chr19,35769335,35769350
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0164.1,421,421,+,chr19,35769382,35769389
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1596.1,573,573,+,chr19,35769384,35769400
